Current Date: 25-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number: 8470080163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Name: InCyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number: 3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gains,,,,,,,,High Calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/L,  Total Volume, Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B, NIR-B, RED-R, NIR-R,  SSC,  GRN-B,  YEL-B,  RED-B,  NIR-B,  RED-R,  NIR-R, YEL-B - %GRN-B, RED-B - %GRN-B, NIR-B - %GRN-B, RED-R - %GRN-B, NIR-R - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, NIR-B - %YEL-B, RED-R - %YEL-B, NIR-R - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, NIR-B - %RED-B, RED-R - %RED-B, NIR-R - %RED-B, GRN-B - %NIR-B, YEL-B - %NIR-B, RED-B - %NIR-B, RED-R - %NIR-B, NIR-R - %NIR-B, GRN-B - %RED-R, YEL-B - %RED-R, RED-B - %RED-R, NIR-B - %RED-R, NIR-R - %RED-R, GRN-B - %NIR-R, YEL-B - %NIR-R, RED-B - %NIR-R, NIR-B - %NIR-R, RED-R - %NIR-R, Threshold Parameter, Threshold Value, Flow Rate, High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList
1, BS4_20000,6918,5000, Cyanos,20000,10,62.02270368,111.5398006,189.0505095, 25-MAR-2019 , 12:42:13 ,10.37471644,1,9.934862497,3.084421651,1,1,1,1, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, FSC,50,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Documents/Backup data/2019-03-25_at_12-37-08pm.xml
2, BS4_10000,6591,5000, Cyanos,10000,10,116.7631103,56.44762274,95.67393684, 25-MAR-2019 , 12:44:25 ,10.37471644,1,9.934862497,3.084421651,1,1,1,1, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, FSC,50,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Documents/Backup data/2019-03-25_at_12-37-08pm.xml
3, BS4_2000,6508,5000, Cyanos,2000,10,517.9000796,12.56613053,21.29852632, 25-MAR-2019 , 12:45:19 ,10.37471644,1,9.934862497,3.084421651,1,1,1,1, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, FSC,50,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Documents/Backup data/2019-03-25_at_12-37-08pm.xml
4, BS5_20000,5976,5000, Cyanos,20000,10,48.31035814,123.70018,209.6613221, 25-MAR-2019 , 12:49:22 ,10.37471644,1,9.934862497,3.084421651,1,1,1,1, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, FSC,50,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Documents/Backup data/2019-03-25_at_12-37-08pm.xml
5, BS5_10000,5844,5000, Cyanos,10000,10,90.51665518,64.56270383,109.4283116, 25-MAR-2019 , 12:51:49 ,10.37471644,1,9.934862497,3.084421651,1,1,1,1, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, FSC,50,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Documents/Backup data/2019-03-25_at_12-37-08pm.xml
6, BS5_2000,5829,5000, Cyanos,2000,10,400.724983,14.54613575,24.65446737, 25-MAR-2019 , 12:52:47 ,10.37471644,1,9.934862497,3.084421651,1,1,1,1, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, FSC,50,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Documents/Backup data/2019-03-25_at_12-37-08pm.xml
